index,courseCode,studyPeriod,academicYear,teacherId,assignedHours,courseInstance,Course code_y,reportedHours
149,1168,2.0,2018-2019,19750331-0036,140.0,I-61,I-61,154.0
150,1078,2.0,2018-2019,19650303-0019,240.0,I-62,I-62,224.0
151,1078,2.0,2018-2019,19790618-0048,140.0,I-62,I-62,137.0
152,1078,2.0,2018-2019,19930709-0100,100.0,I-62,I-62,108.0
153,1027,3.0,2018-2019,19640414-0013,240.0,I-63,I-63,248.0
154,1027,3.0,2018-2019,19770713-0042,120.0,I-63,I-63,131.0
155,1157,3.0,2019-2020,19690408-0009,280.0,I-64,I-64,261.0
156,1157,3.0,2019-2020,19761009-0055,120.0,I-64,I-64,137.0
157,1244,2.0,2019-2020,19560812-0016,240.0,I-65,I-65,242.0
158,1244,2.0,2019-2020,19781130-0054,120.0,I-65,I-65,120.0
159,1183,3.0,2019-2020,19620424-0026,280.0,I-66,I-66,283.0
160,1183,3.0,2019-2020,19790702-0038,120.0,I-66,I-66,124.0
161,1108,2.0,2019-2020,19620831-0024,280.0,I-67,I-67,274.0
162,1108,2.0,2019-2020,19761009-0055,140.0,I-67,I-67,127.0
163,1267,2.0,2019-2020,19610918-0027,240.0,I-68,I-68,256.0
164,1267,2.0,2019-2020,19760108-0050,100.0,I-68,I-68,120.0
165,1250,4.0,2019-2020,19610918-0027,240.0,I-69,I-69,246.0
166,1250,4.0,2019-2020,19790717-0045,100.0,I-69,I-69,115.0
167,1250,4.0,2019-2020,19930829-0082,100.0,I-69,I-69,101.0
168,1246,3.0,2019-2020,19600529-0021,260.0,I-70,I-70,271.0
169,1246,3.0,2019-2020,19781125-0031,100.0,I-70,I-70,91.0
170,1246,3.0,2019-2020,19900520-0063,140.0,I-70,I-70,133.0
171,1135,1.0,2019-2020,19601021-0018,280.0,I-71,I-71,260.0
172,1135,1.0,2019-2020,19761024-0034,120.0,I-71,I-71,106.0
173,1135,1.0,2019-2020,19900909-0123,100.0,I-71,I-71,117.0
174,1099,2.0,2019-2020,19610918-0027,240.0,I-72,I-72,246.0
175,1099,2.0,2019-2020,19760108-0050,120.0,I-72,I-72,121.0
176,1099,2.0,2019-2020,19920602-0073,120.0,I-72,I-72,100.0
177,1284,2.0,2020-2021,19690513-0015,280.0,I-73,I-73,295.0
178,1284,2.0,2020-2021,19790426-0049,140.0,I-73,I-73,141.0
179,1284,2.0,2020-2021,19920320-0121,140.0,I-73,I-73,158.0
180,1239,1.0,2020-2021,19561222-0030,260.0,I-74,I-74,269.0
181,1239,1.0,2020-2021,19750331-0036,140.0,I-74,I-74,147.0
182,1239,1.0,2020-2021,19930829-0082,140.0,I-74,I-74,131.0
183,1155,1.0,2020-2021,19620424-0026,280.0,I-75,I-75,281.0
184,1155,1.0,2020-2021,19760524-0046,120.0,I-75,I-75,117.0
185,1155,1.0,2020-2021,19920828-0070,100.0,I-75,I-75,84.0
186,1130,4.0,2020-2021,19580218-0007,280.0,I-76,I-76,265.0
187,1130,4.0,2020-2021,19761009-0055,100.0,I-76,I-76,97.0
188,1130,4.0,2020-2021,19911025-0091,140.0,I-76,I-76,131.0
189,1278,4.0,2020-2021,19660630-0020,240.0,I-77,I-77,251.0
190,1278,4.0,2020-2021,19781130-0054,100.0,I-77,I-77,113.0
191,1204,1.0,2020-2021,19560812-0016,280.0,I-78,I-78,282.0
192,1204,1.0,2020-2021,19750512-0043,140.0,I-78,I-78,136.0
193,1092,2.0,2020-2021,19640220-0029,240.0,I-79,I-79,254.0
194,1092,2.0,2020-2021,19770713-0042,120.0,I-79,I-79,140.0
195,1060,4.0,2020-2021,19580218-0007,280.0,I-80,I-80,296.0
196,1060,4.0,2020-2021,19750722-0060,120.0,I-80,I-80,100.0
197,1203,2.0,2021-2022,19561222-0030,280.0,I-81,I-81,295.0
198,1203,2.0,2021-2022,19770713-0042,120.0,I-81,I-81,133.0
199,1086,3.0,2021-2022,19560705-0025,260.0,I-82,I-82,278.0
200,1086,3.0,2021-2022,19771013-0040,140.0,I-82,I-82,137.0
201,1086,3.0,2021-2022,19920320-0121,100.0,I-82,I-82,101.0
202,1180,2.0,2021-2022,19610620-0006,260.0,I-83,I-83,248.0
203,1180,2.0,2021-2022,19780602-0035,140.0,I-83,I-83,133.0
204,1180,2.0,2021-2022,19911025-0091,120.0,I-83,I-83,102.0
205,1167,2.0,2021-2022,19660630-0020,260.0,I-84,I-84,277.0
206,1167,2.0,2021-2022,19750122-0056,100.0,I-84,I-84,99.0
207,1136,2.0,2021-2022,19560705-0025,260.0,I-85,I-85,258.0
208,1136,2.0,2021-2022,19790702-0038,140.0,I-85,I-85,139.0
209,1136,2.0,2021-2022,19910927-0128,120.0,I-85,I-85,126.0
210,1048,1.0,2021-2022,19570615-0011,240.0,I-86,I-86,260.0
211,1048,1.0,2021-2022,19780815-0047,140.0,I-86,I-86,145.0
212,1194,2.0,2021-2022,19610918-0027,280.0,I-87,I-87,264.0
213,1194,2.0,2021-2022,19780424-0057,120.0,I-87,I-87,133.0
214,1079,1.0,2021-2022,19600905-0003,280.0,I-88,I-88,265.0
215,1079,1.0,2021-2022,19751018-0039,120.0,I-88,I-88,108.0
216,1079,1.0,2021-2022,19931231-0099,140.0,I-88,I-88,153.0
217,1054,4.0,2021-2022,19620522-0023,260.0,I-89,I-89,246.0
218,1054,4.0,2021-2022,19761024-0034,120.0,I-89,I-89,124.0
219,1054,4.0,2021-2022,19930829-0082,120.0,I-89,I-89,128.0
220,1043,2.0,2021-2022,19620831-0024,280.0,I-90,I-90,290.0
221,1043,2.0,2021-2022,19780815-0047,140.0,I-90,I-90,123.0
222,1043,2.0,2021-2022,19910206-0081,120.0,I-90,I-90,131.0
223,1006,4.0,2021-2022,19680712-0028,240.0,I-91,I-91,248.0
224,1006,4.0,2021-2022,19780424-0057,100.0,I-91,I-91,109.0
225,1006,4.0,2021-2022,19900520-0063,120.0,I-91,I-91,126.0
226,1263,1.0,2022-2023,19640220-0029,260.0,I-92,I-92,266.0
227,1263,1.0,2022-2023,19781217-0053,120.0,I-92,I-92,123.0
228,1282,3.0,2022-2023,19580515-0017,260.0,I-93,I-93,250.0
229,1282,3.0,2022-2023,19761020-0044,100.0,I-93,I-93,81.0
230,1170,3.0,2022-2023,19630126-0001,280.0,I-94,I-94,276.0
231,1170,3.0,2022-2023,19790708-0041,120.0,I-94,I-94,116.0
232,1170,3.0,2022-2023,19900317-0083,140.0,I-94,I-94,122.0
233,1098,4.0,2022-2023,19690513-0015,240.0,I-95,I-95,230.0
234,1098,4.0,2022-2023,19751018-0039,140.0,I-95,I-95,150.0
235,1098,4.0,2022-2023,19901002-0085,100.0,I-95,I-95,98.0
236,1005,4.0,2022-2023,19560812-0016,260.0,I-96,I-96,277.0
237,1005,4.0,2022-2023,19780317-0052,140.0,I-96,I-96,132.0
238,1005,4.0,2022-2023,19900317-0083,140.0,I-96,I-96,125.0
239,1255,3.0,2022-2023,19640414-0013,280.0,I-97,I-97,296.0
240,1255,3.0,2022-2023,19750906-0032,120.0,I-97,I-97,113.0
241,1255,3.0,2022-2023,19930508-0061,100.0,I-97,I-97,107.0
242,1222,3.0,2022-2023,19650303-0019,240.0,I-98,I-98,242.0
243,1222,3.0,2022-2023,19750417-0051,100.0,I-98,I-98,93.0
244,1178,3.0,2022-2023,19580218-0007,280.0,I-99,I-99,295.0
245,1178,3.0,2022-2023,19750906-0032,140.0,I-99,I-99,139.0
246,1088,1.0,2022-2023,19680712-0028,240.0,I-100,I-100,260.0
247,1088,1.0,2022-2023,19750331-0036,100.0,I-100,I-100,111.0
248,1070,3.0,2022-2023,19580218-0007,280.0,I-101,I-101,286.0
249,1070,3.0,2022-2023,19780602-0035,120.0,I-101,I-101,130.0
250,1070,3.0,2022-2023,19930326-0132,120.0,I-101,I-101,132.0
251,1067,2.0,2022-2023,19570615-0011,240.0,I-102,I-102,237.0
252,1067,2.0,2022-2023,19770713-0042,100.0,I-102,I-102,96.0
253,1014,3.0,2023-2024,19650303-0019,260.0,I-103,I-103,259.0
254,1014,3.0,2023-2024,19760108-0050,120.0,I-103,I-103,112.0
255,1014,3.0,2023-2024,19930919-0137,100.0,I-103,I-103,103.0
256,1299,4.0,2023-2024,19650303-0019,280.0,I-104,I-104,282.0
257,1299,4.0,2023-2024,19751018-0039,140.0,I-104,I-104,157.0
258,1299,4.0,2023-2024,19921218-0101,120.0,I-104,I-104,110.0
259,1296,2.0,2023-2024,19650303-0019,260.0,I-105,I-105,264.0
260,1296,2.0,2023-2024,19761009-0055,120.0,I-105,I-105,110.0
261,1132,3.0,2023-2024,19610918-0027,280.0,I-106,I-106,276.0
262,1132,3.0,2023-2024,19790426-0049,100.0,I-106,I-106,97.0
263,1132,3.0,2023-2024,19920122-0065,100.0,I-106,I-106,100.0
264,1046,2.0,2023-2024,19600529-0021,260.0,I-107,I-107,265.0
265,1046,2.0,2023-2024,19750331-0036,120.0,I-107,I-107,121.0
266,1289,2.0,2023-2024,19590129-0004,240.0,I-108,I-108,244.0
267,1289,2.0,2023-2024,19761009-0055,100.0,I-108,I-108,95.0
268,1223,1.0,2023-2024,19570826-0012,260.0,I-109,I-109,277.0
269,1223,1.0,2023-2024,19790717-0045,140.0,I-109,I-109,135.0
270,1137,2.0,2023-2024,19570828-0008,260.0,I-110,I-110,278.0
271,1137,2.0,2023-2024,19750417-0051,140.0,I-110,I-110,124.0
272,1137,2.0,2023-2024,19920122-0065,100.0,I-110,I-110,91.0
273,1082,4.0,2023-2024,19600529-0021,280.0,I-111,I-111,292.0
274,1082,4.0,2023-2024,19750512-0043,140.0,I-111,I-111,148.0
275,1082,4.0,2023-2024,19900616-0124,120.0,I-111,I-111,101.0
276,1265,1.0,2013-2014,19561222-0030,260.0,I-112,I-112,263.0
277,1265,1.0,2013-2014,19750417-0051,140.0,I-112,I-112,157.0
278,1265,1.0,2013-2014,19910404-0102,140.0,I-112,I-112,136.0
279,1213,3.0,2013-2014,19690917-0022,260.0,I-113,I-113,248.0
280,1213,3.0,2013-2014,19760524-0046,100.0,I-113,I-113,88.0
281,1085,3.0,2013-2014,19620522-0023,260.0,I-114,I-114,240.0
282,1085,3.0,2013-2014,19760524-0046,140.0,I-114,I-114,123.0
283,1075,1.0,2013-2014,19640414-0013,260.0,I-115,I-115,261.0
284,1075,1.0,2013-2014,19770224-0058,120.0,I-115,I-115,126.0
285,1075,1.0,2013-2014,19900511-0134,120.0,I-115,I-115,120.0
286,1272,2.0,2013-2014,19560812-0016,260.0,I-116,I-116,278.0
287,1272,2.0,2013-2014,19781217-0053,120.0,I-116,I-116,101.0
288,1139,3.0,2013-2014,19601021-0018,280.0,I-117,I-117,290.0
289,1139,3.0,2013-2014,19781217-0053,100.0,I-117,I-117,93.0
290,1139,3.0,2013-2014,19921127-0120,100.0,I-117,I-117,82.0
291,1101,1.0,2013-2014,19611219-0014,280.0,I-118,I-118,262.0
292,1101,1.0,2013-2014,19790426-0049,100.0,I-118,I-118,113.0
293,1101,1.0,2013-2014,19921123-0108,120.0,I-118,I-118,139.0
294,1098,4.0,2013-2014,19610623-0005,260.0,I-119,I-119,262.0
295,1098,4.0,2013-2014,19780317-0052,100.0,I-119,I-119,119.0
296,1098,4.0,2013-2014,19930919-0137,140.0,I-119,I-119,159.0
297,1083,1.0,2013-2014,19690513-0015,240.0,I-120,I-120,248.0
298,1083,1.0,2013-2014,19781217-0053,100.0,I-120,I-120,100.0
299,1185,3.0,2014-2015,19640220-0029,280.0,I-121,I-121,282.0
300,1185,3.0,2014-2015,19780317-0052,120.0,I-121,I-121,122.0
301,1185,3.0,2014-2015,19920826-0088,120.0,I-121,I-121,122.0
302,1271,2.0,2014-2015,19690917-0022,260.0,I-122,I-122,254.0
303,1271,2.0,2014-2015,19790702-0038,140.0,I-122,I-122,121.0
304,1271,2.0,2014-2015,19920316-0107,120.0,I-122,I-122,123.0
305,1258,3.0,2014-2015,19660630-0020,260.0,I-123,I-123,247.0
306,1258,3.0,2014-2015,19790702-0038,140.0,I-123,I-123,121.0
307,1073,2.0,2014-2015,19580218-0007,280.0,I-124,I-124,297.0
308,1073,2.0,2014-2015,19760524-0046,140.0,I-124,I-124,123.0
309,1073,2.0,2014-2015,19930228-0086,100.0,I-124,I-124,94.0
310,1065,3.0,2014-2015,19561222-0030,240.0,I-125,I-125,226.0
311,1065,3.0,2014-2015,19750906-0032,100.0,I-125,I-125,104.0
312,1065,3.0,2014-2015,19921208-0097,140.0,I-125,I-125,151.0
313,1218,4.0,2014-2015,19570828-0008,260.0,I-126,I-126,260.0
314,1218,4.0,2014-2015,19781130-0054,140.0,I-126,I-126,151.0
315,1218,4.0,2014-2015,19900128-0095,120.0,I-126,I-126,134.0
316,1208,4.0,2014-2015,19590129-0004,240.0,I-127,I-127,246.0
317,1208,4.0,2014-2015,19761020-0044,100.0,I-127,I-127,86.0
318,1100,3.0,2014-2015,19570826-0012,280.0,I-128,I-128,275.0
319,1100,3.0,2014-2015,19780424-0057,140.0,I-128,I-128,123.0
320,1100,3.0,2014-2015,19901219-0125,120.0,I-128,I-128,104.0
321,1090,1.0,2014-2015,19560812-0016,280.0,I-129,I-129,282.0
322,1090,1.0,2014-2015,19770713-0042,100.0,I-129,I-129,89.0
323,1090,1.0,2014-2015,19931118-0062,120.0,I-129,I-129,129.0
324,1221,2.0,2015-2016,19610623-0005,260.0,I-130,I-130,277.0
325,1221,2.0,2015-2016,19790618-0048,120.0,I-130,I-130,128.0
326,1073,4.0,2015-2016,19640414-0013,280.0,I-131,I-131,270.0
327,1073,4.0,2015-2016,19790708-0041,100.0,I-131,I-131,84.0
328,1073,4.0,2015-2016,19921208-0097,140.0,I-131,I-131,147.0
329,1230,4.0,2015-2016,19560812-0016,260.0,I-132,I-132,252.0
330,1230,4.0,2015-2016,19770713-0042,120.0,I-132,I-132,101.0
331,1230,4.0,2015-2016,19910514-0068,100.0,I-132,I-132,98.0
332,1208,4.0,2015-2016,19570826-0012,240.0,I-133,I-133,243.0
333,1208,4.0,2015-2016,19760108-0050,140.0,I-133,I-133,156.0
334,1208,4.0,2015-2016,19930228-0086,140.0,I-133,I-133,135.0
335,1201,3.0,2015-2016,19650303-0019,260.0,I-134,I-134,279.0
336,1201,3.0,2015-2016,19771013-0040,100.0,I-134,I-134,109.0
337,1201,3.0,2015-2016,19910822-0122,120.0,I-134,I-134,134.0
338,1199,4.0,2015-2016,19690513-0015,240.0,I-135,I-135,222.0
339,1199,4.0,2015-2016,19780317-0052,120.0,I-135,I-135,124.0
340,1199,4.0,2015-2016,19900723-0126,100.0,I-135,I-135,113.0
341,1144,3.0,2015-2016,19650303-0019,260.0,I-136,I-136,249.0
342,1144,3.0,2015-2016,19750417-0051,100.0,I-136,I-136,106.0
343,1086,4.0,2015-2016,19690917-0022,260.0,I-137,I-137,261.0
344,1086,4.0,2015-2016,19781130-0054,140.0,I-137,I-137,125.0
345,1040,2.0,2015-2016,19610623-0005,280.0,I-138,I-138,298.0
346,1040,2.0,2015-2016,19760108-0050,100.0,I-138,I-138,85.0
347,1011,1.0,2015-2016,19560812-0016,280.0,I-139,I-139,274.0
348,1011,1.0,2015-2016,19780602-0035,100.0,I-139,I-139,102.0
349,1258,3.0,2016-2017,19560812-0016,240.0,I-140,I-140,224.0
350,1258,3.0,2016-2017,19780317-0052,100.0,I-140,I-140,88.0
351,1284,2.0,2016-2017,19640414-0013,240.0,I-141,I-141,243.0
352,1284,2.0,2016-2017,19750331-0036,100.0,I-141,I-141,86.0
353,1284,2.0,2016-2017,19931226-0118,100.0,I-141,I-141,90.0
354,1094,1.0,2016-2017,19590129-0004,240.0,I-142,I-142,220.0
355,1094,1.0,2016-2017,19760108-0050,100.0,I-142,I-142,83.0
356,1008,3.0,2016-2017,19650303-0019,240.0,I-143,I-143,220.0
357,1008,3.0,2016-2017,19750906-0032,100.0,I-143,I-143,91.0
358,1250,1.0,2016-2017,19660630-0020,280.0,I-144,I-144,273.0
359,1250,1.0,2016-2017,19750705-0033,100.0,I-144,I-144,103.0
360,1197,1.0,2016-2017,19600529-0021,240.0,I-145,I-145,222.0
361,1197,1.0,2016-2017,19750906-0032,100.0,I-145,I-145,95.0
362,1176,4.0,2016-2017,19580218-0007,260.0,I-146,I-146,244.0
363,1176,4.0,2016-2017,19780424-0057,100.0,I-146,I-146,102.0
364,1011,2.0,2016-2017,19560812-0016,240.0,I-147,I-147,255.0
