courseCode,studyPeriod,academicYear,teacherID,assignedHours,courseInstance,reportedHours
1227,1.0,2016-2017,19750331-0036,120.0,I-34,115.0
1089,2.0,2016-2017,19690408-0009,280.0,I-35,271.0
1089,2.0,2016-2017,19770713-0042,100.0,I-35,100.0
1084,4.0,2016-2017,19601021-0018,260.0,I-36,261.0
1084,4.0,2016-2017,19790618-0048,100.0,I-36,114.0
1021,1.0,2016-2017,19680712-0028,260.0,I-37,272.0
1021,1.0,2016-2017,19790618-0048,100.0,I-37,84.0
1252,4.0,2016-2017,19610623-0005,280.0,I-38,273.0
1252,4.0,2016-2017,19781125-0031,100.0,I-38,118.0
1172,3.0,2016-2017,19600529-0021,260.0,I-39,258.0
1172,3.0,2016-2017,19761024-0034,120.0,I-39,136.0
1172,3.0,2016-2017,19921123-0108,100.0,I-39,102.0
1158,3.0,2016-2017,19680712-0028,260.0,I-40,242.0
1158,3.0,2016-2017,19750417-0051,120.0,I-40,133.0
1091,4.0,2016-2017,19590129-0004,260.0,I-41,277.0
1091,4.0,2016-2017,19750122-0056,140.0,I-41,138.0
1091,4.0,2016-2017,19920826-0088,100.0,I-41,116.0
1045,1.0,2016-2017,19600529-0021,260.0,I-42,272.0
1045,1.0,2016-2017,19781217-0053,120.0,I-42,114.0
1272,3.0,2017-2018,19611219-0014,260.0,I-43,241.0
1272,3.0,2017-2018,19750705-0033,140.0,I-43,153.0
1272,3.0,2017-2018,19930512-0117,120.0,I-43,119.0
1248,3.0,2017-2018,19611219-0014,280.0,I-44,267.0
1248,3.0,2017-2018,19780815-0047,140.0,I-44,139.0
1232,3.0,2017-2018,19640414-0013,240.0,I-45,224.0
1232,3.0,2017-2018,19750331-0036,100.0,I-45,93.0
1232,3.0,2017-2018,19910403-0131,100.0,I-45,104.0
1006,1.0,2017-2018,19650303-0019,260.0,I-46,280.0
1006,1.0,2017-2018,19750331-0036,120.0,I-46,103.0
1241,3.0,2017-2018,19690513-0015,280.0,I-47,278.0
1241,3.0,2017-2018,19780815-0047,140.0,I-47,121.0
1215,2.0,2017-2018,19600814-0002,280.0,I-48,284.0
1215,2.0,2017-2018,19751018-0039,120.0,I-48,120.0
1090,2.0,2017-2018,19560612-0010,280.0,I-49,291.0
1090,2.0,2017-2018,19770224-0058,100.0,I-49,87.0
1090,2.0,2017-2018,19930616-0127,140.0,I-49,149.0
1085,1.0,2017-2018,19560612-0010,260.0,I-50,250.0
1085,1.0,2017-2018,19750102-0059,140.0,I-50,133.0
1082,3.0,2017-2018,19560705-0025,260.0,I-51,240.0
1082,3.0,2017-2018,19761009-0055,120.0,I-51,121.0
1033,1.0,2017-2018,19610918-0027,260.0,I-52,259.0
1033,1.0,2017-2018,19790426-0049,100.0,I-52,87.0
1033,1.0,2017-2018,19910101-0133,140.0,I-52,137.0
1144,3.0,2018-2019,19680712-0028,260.0,I-53,278.0
1144,3.0,2018-2019,19790702-0038,140.0,I-53,141.0
1144,3.0,2018-2019,19911116-0069,120.0,I-53,131.0
1250,1.0,2018-2019,19690513-0015,240.0,I-54,221.0
1250,1.0,2018-2019,19760524-0046,140.0,I-54,124.0
1250,1.0,2018-2019,19931118-0062,140.0,I-54,129.0
1243,2.0,2018-2019,19680712-0028,260.0,I-55,273.0
1243,2.0,2018-2019,19750705-0033,120.0,I-55,132.0
1147,2.0,2018-2019,19570826-0012,240.0,I-56,241.0
1147,2.0,2018-2019,19760524-0046,100.0,I-56,85.0
1147,2.0,2018-2019,19920505-0115,100.0,I-56,103.0
1133,1.0,2018-2019,19640220-0029,240.0,I-57,233.0
1133,1.0,2018-2019,19780602-0035,140.0,I-57,155.0
1239,3.0,2018-2019,19561222-0030,260.0,I-58,271.0
1239,3.0,2018-2019,19790426-0049,140.0,I-58,158.0
1220,1.0,2018-2019,19630126-0001,240.0,I-59,231.0
1220,1.0,2018-2019,19780815-0047,100.0,I-59,96.0
1220,1.0,2018-2019,19920505-0115,140.0,I-59,129.0
1178,3.0,2018-2019,19600529-0021,240.0,I-60,252.0
1178,3.0,2018-2019,19761020-0044,140.0,I-60,144.0
1168,2.0,2018-2019,19610918-0027,260.0,I-61,275.0
1168,2.0,2018-2019,19750331-0036,140.0,I-61,154.0
1078,2.0,2018-2019,19650303-0019,240.0,I-62,224.0
1078,2.0,2018-2019,19790618-0048,140.0,I-62,137.0
1078,2.0,2018-2019,19930709-0100,100.0,I-62,108.0
1027,3.0,2018-2019,19640414-0013,240.0,I-63,248.0
1027,3.0,2018-2019,19770713-0042,120.0,I-63,131.0
1157,3.0,2019-2020,19690408-0009,280.0,I-64,261.0
1157,3.0,2019-2020,19761009-0055,120.0,I-64,137.0
1244,2.0,2019-2020,19560812-0016,240.0,I-65,242.0
1244,2.0,2019-2020,19781130-0054,120.0,I-65,120.0
1183,3.0,2019-2020,19620424-0026,280.0,I-66,283.0
1183,3.0,2019-2020,19790702-0038,120.0,I-66,124.0
1108,2.0,2019-2020,19620831-0024,280.0,I-67,274.0
1108,2.0,2019-2020,19761009-0055,140.0,I-67,127.0
1267,2.0,2019-2020,19610918-0027,240.0,I-68,256.0
1267,2.0,2019-2020,19760108-0050,100.0,I-68,120.0
1250,4.0,2019-2020,19610918-0027,240.0,I-69,246.0
1250,4.0,2019-2020,19790717-0045,100.0,I-69,115.0
1250,4.0,2019-2020,19930829-0082,100.0,I-69,101.0
1246,3.0,2019-2020,19600529-0021,260.0,I-70,271.0
1246,3.0,2019-2020,19781125-0031,100.0,I-70,91.0
1246,3.0,2019-2020,19900520-0063,140.0,I-70,133.0
1135,1.0,2019-2020,19601021-0018,280.0,I-71,260.0
1135,1.0,2019-2020,19761024-0034,120.0,I-71,106.0
1135,1.0,2019-2020,19900909-0123,100.0,I-71,117.0
1099,2.0,2019-2020,19610918-0027,240.0,I-72,246.0
1099,2.0,2019-2020,19760108-0050,120.0,I-72,121.0
1099,2.0,2019-2020,19920602-0073,120.0,I-72,100.0
1284,2.0,2020-2021,19690513-0015,280.0,I-73,295.0
1284,2.0,2020-2021,19790426-0049,140.0,I-73,141.0
1284,2.0,2020-2021,19920320-0121,140.0,I-73,158.0
1239,1.0,2020-2021,19561222-0030,260.0,I-74,269.0
1239,1.0,2020-2021,19750331-0036,140.0,I-74,147.0
1239,1.0,2020-2021,19930829-0082,140.0,I-74,131.0
1155,1.0,2020-2021,19620424-0026,280.0,I-75,281.0
1155,1.0,2020-2021,19760524-0046,120.0,I-75,117.0
1155,1.0,2020-2021,19920828-0070,100.0,I-75,84.0
1130,4.0,2020-2021,19580218-0007,280.0,I-76,265.0
1130,4.0,2020-2021,19761009-0055,100.0,I-76,97.0
1130,4.0,2020-2021,19911025-0091,140.0,I-76,131.0
1278,4.0,2020-2021,19660630-0020,240.0,I-77,251.0
1278,4.0,2020-2021,19781130-0054,100.0,I-77,113.0
1204,1.0,2020-2021,19560812-0016,280.0,I-78,282.0
1204,1.0,2020-2021,19750512-0043,140.0,I-78,136.0
1092,2.0,2020-2021,19640220-0029,240.0,I-79,254.0
1092,2.0,2020-2021,19770713-0042,120.0,I-79,140.0
1060,4.0,2020-2021,19580218-0007,280.0,I-80,296.0
1060,4.0,2020-2021,19750722-0060,120.0,I-80,100.0
1203,2.0,2021-2022,19561222-0030,280.0,I-81,295.0
1203,2.0,2021-2022,19770713-0042,120.0,I-81,133.0
1086,3.0,2021-2022,19560705-0025,260.0,I-82,278.0
1086,3.0,2021-2022,19771013-0040,140.0,I-82,137.0
1086,3.0,2021-2022,19920320-0121,100.0,I-82,101.0
1180,2.0,2021-2022,19610620-0006,260.0,I-83,248.0
1180,2.0,2021-2022,19780602-0035,140.0,I-83,133.0
1180,2.0,2021-2022,19911025-0091,120.0,I-83,102.0
1167,2.0,2021-2022,19660630-0020,260.0,I-84,277.0
1167,2.0,2021-2022,19750122-0056,100.0,I-84,99.0
1136,2.0,2021-2022,19560705-0025,260.0,I-85,258.0
1136,2.0,2021-2022,19790702-0038,140.0,I-85,139.0
1136,2.0,2021-2022,19910927-0128,120.0,I-85,126.0
1048,1.0,2021-2022,19570615-0011,240.0,I-86,260.0
1048,1.0,2021-2022,19780815-0047,140.0,I-86,145.0
1194,2.0,2021-2022,19610918-0027,280.0,I-87,264.0
1194,2.0,2021-2022,19780424-0057,120.0,I-87,133.0
1079,1.0,2021-2022,19600905-0003,280.0,I-88,265.0
1079,1.0,2021-2022,19751018-0039,120.0,I-88,108.0
1079,1.0,2021-2022,19931231-0099,140.0,I-88,153.0
1054,4.0,2021-2022,19620522-0023,260.0,I-89,246.0
1054,4.0,2021-2022,19761024-0034,120.0,I-89,124.0
1054,4.0,2021-2022,19930829-0082,120.0,I-89,128.0
1043,2.0,2021-2022,19620831-0024,280.0,I-90,290.0
1043,2.0,2021-2022,19780815-0047,140.0,I-90,123.0
1043,2.0,2021-2022,19910206-0081,120.0,I-90,131.0
1006,4.0,2021-2022,19680712-0028,240.0,I-91,248.0
1006,4.0,2021-2022,19780424-0057,100.0,I-91,109.0
1006,4.0,2021-2022,19900520-0063,120.0,I-91,126.0
1263,1.0,2022-2023,19640220-0029,260.0,I-92,266.0
1263,1.0,2022-2023,19781217-0053,120.0,I-92,123.0
1282,3.0,2022-2023,19580515-0017,260.0,I-93,250.0
1282,3.0,2022-2023,19761020-0044,100.0,I-93,81.0
1170,3.0,2022-2023,19630126-0001,280.0,I-94,276.0
1170,3.0,2022-2023,19790708-0041,120.0,I-94,116.0
1170,3.0,2022-2023,19900317-0083,140.0,I-94,122.0
1098,4.0,2022-2023,19690513-0015,240.0,I-95,230.0
1098,4.0,2022-2023,19751018-0039,140.0,I-95,150.0
1098,4.0,2022-2023,19901002-0085,100.0,I-95,98.0
1005,4.0,2022-2023,19560812-0016,260.0,I-96,277.0
1005,4.0,2022-2023,19780317-0052,140.0,I-96,132.0
1005,4.0,2022-2023,19900317-0083,140.0,I-96,125.0
1255,3.0,2022-2023,19640414-0013,280.0,I-97,296.0
1255,3.0,2022-2023,19750906-0032,120.0,I-97,113.0
1255,3.0,2022-2023,19930508-0061,100.0,I-97,107.0
1222,3.0,2022-2023,19650303-0019,240.0,I-98,242.0
1222,3.0,2022-2023,19750417-0051,100.0,I-98,93.0
1178,3.0,2022-2023,19580218-0007,280.0,I-99,295.0
1178,3.0,2022-2023,19750906-0032,140.0,I-99,139.0
1088,1.0,2022-2023,19680712-0028,240.0,I-100,260.0
1088,1.0,2022-2023,19750331-0036,100.0,I-100,111.0
1070,3.0,2022-2023,19580218-0007,280.0,I-101,286.0
1070,3.0,2022-2023,19780602-0035,120.0,I-101,130.0
1070,3.0,2022-2023,19930326-0132,120.0,I-101,132.0
1067,2.0,2022-2023,19570615-0011,240.0,I-102,237.0
1067,2.0,2022-2023,19770713-0042,100.0,I-102,96.0
1014,3.0,2023-2024,19650303-0019,260.0,I-103,259.0
1014,3.0,2023-2024,19760108-0050,120.0,I-103,112.0
1014,3.0,2023-2024,19930919-0137,100.0,I-103,103.0
1299,4.0,2023-2024,19650303-0019,280.0,I-104,282.0
1299,4.0,2023-2024,19751018-0039,140.0,I-104,157.0
1299,4.0,2023-2024,19921218-0101,120.0,I-104,110.0
1296,2.0,2023-2024,19650303-0019,260.0,I-105,264.0
1296,2.0,2023-2024,19761009-0055,120.0,I-105,110.0
1132,3.0,2023-2024,19610918-0027,280.0,I-106,276.0
1132,3.0,2023-2024,19790426-0049,100.0,I-106,97.0
1132,3.0,2023-2024,19920122-0065,100.0,I-106,100.0
1046,2.0,2023-2024,19600529-0021,260.0,I-107,265.0
1046,2.0,2023-2024,19750331-0036,120.0,I-107,121.0
1289,2.0,2023-2024,19590129-0004,240.0,I-108,244.0
1289,2.0,2023-2024,19761009-0055,100.0,I-108,95.0
1223,1.0,2023-2024,19570826-0012,260.0,I-109,277.0
1223,1.0,2023-2024,19790717-0045,140.0,I-109,135.0
1137,2.0,2023-2024,19570828-0008,260.0,I-110,278.0
1137,2.0,2023-2024,19750417-0051,140.0,I-110,124.0
1137,2.0,2023-2024,19920122-0065,100.0,I-110,91.0
1082,4.0,2023-2024,19600529-0021,280.0,I-111,292.0
1082,4.0,2023-2024,19750512-0043,140.0,I-111,148.0
1082,4.0,2023-2024,19900616-0124,120.0,I-111,101.0
1265,1.0,2013-2014,19561222-0030,260.0,I-112,263.0
1265,1.0,2013-2014,19750417-0051,140.0,I-112,157.0
1265,1.0,2013-2014,19910404-0102,140.0,I-112,136.0
1213,3.0,2013-2014,19690917-0022,260.0,I-113,248.0
1213,3.0,2013-2014,19760524-0046,100.0,I-113,88.0
1085,3.0,2013-2014,19620522-0023,260.0,I-114,240.0
1085,3.0,2013-2014,19760524-0046,140.0,I-114,123.0
1075,1.0,2013-2014,19640414-0013,260.0,I-115,261.0
1075,1.0,2013-2014,19770224-0058,120.0,I-115,126.0
1075,1.0,2013-2014,19900511-0134,120.0,I-115,120.0
1272,2.0,2013-2014,19560812-0016,260.0,I-116,278.0
1272,2.0,2013-2014,19781217-0053,120.0,I-116,101.0
1139,3.0,2013-2014,19601021-0018,280.0,I-117,290.0
1139,3.0,2013-2014,19781217-0053,100.0,I-117,93.0
1139,3.0,2013-2014,19921127-0120,100.0,I-117,82.0
1101,1.0,2013-2014,19611219-0014,280.0,I-118,262.0
1101,1.0,2013-2014,19790426-0049,100.0,I-118,113.0
1101,1.0,2013-2014,19921123-0108,120.0,I-118,139.0
1098,4.0,2013-2014,19610623-0005,260.0,I-119,262.0
1098,4.0,2013-2014,19780317-0052,100.0,I-119,119.0
1098,4.0,2013-2014,19930919-0137,140.0,I-119,159.0
1083,1.0,2013-2014,19690513-0015,240.0,I-120,248.0
1083,1.0,2013-2014,19781217-0053,100.0,I-120,100.0
1185,3.0,2014-2015,19640220-0029,280.0,I-121,282.0
1185,3.0,2014-2015,19780317-0052,120.0,I-121,122.0
1185,3.0,2014-2015,19920826-0088,120.0,I-121,122.0
1271,2.0,2014-2015,19690917-0022,260.0,I-122,254.0
1271,2.0,2014-2015,19790702-0038,140.0,I-122,121.0
1271,2.0,2014-2015,19920316-0107,120.0,I-122,123.0
1258,3.0,2014-2015,19660630-0020,260.0,I-123,247.0
1258,3.0,2014-2015,19790702-0038,140.0,I-123,121.0
1073,2.0,2014-2015,19580218-0007,280.0,I-124,297.0
1073,2.0,2014-2015,19760524-0046,140.0,I-124,123.0
1073,2.0,2014-2015,19930228-0086,100.0,I-124,94.0
1065,3.0,2014-2015,19561222-0030,240.0,I-125,226.0
1065,3.0,2014-2015,19750906-0032,100.0,I-125,104.0
1065,3.0,2014-2015,19921208-0097,140.0,I-125,151.0
1218,4.0,2014-2015,19570828-0008,260.0,I-126,260.0
1218,4.0,2014-2015,19781130-0054,140.0,I-126,151.0
1218,4.0,2014-2015,19900128-0095,120.0,I-126,134.0
1208,4.0,2014-2015,19590129-0004,240.0,I-127,246.0
1208,4.0,2014-2015,19761020-0044,100.0,I-127,86.0
1100,3.0,2014-2015,19570826-0012,280.0,I-128,275.0
1100,3.0,2014-2015,19780424-0057,140.0,I-128,123.0
1100,3.0,2014-2015,19901219-0125,120.0,I-128,104.0
1090,1.0,2014-2015,19560812-0016,280.0,I-129,282.0
1090,1.0,2014-2015,19770713-0042,100.0,I-129,89.0
1090,1.0,2014-2015,19931118-0062,120.0,I-129,129.0
1221,2.0,2015-2016,19610623-0005,260.0,I-130,277.0
1221,2.0,2015-2016,19790618-0048,120.0,I-130,128.0
1073,4.0,2015-2016,19640414-0013,280.0,I-131,270.0
1073,4.0,2015-2016,19790708-0041,100.0,I-131,84.0
1073,4.0,2015-2016,19921208-0097,140.0,I-131,147.0
1230,4.0,2015-2016,19560812-0016,260.0,I-132,252.0
1230,4.0,2015-2016,19770713-0042,120.0,I-132,101.0
1230,4.0,2015-2016,19910514-0068,100.0,I-132,98.0
1208,4.0,2015-2016,19570826-0012,240.0,I-133,243.0
1208,4.0,2015-2016,19760108-0050,140.0,I-133,156.0
1208,4.0,2015-2016,19930228-0086,140.0,I-133,135.0
1201,3.0,2015-2016,19650303-0019,260.0,I-134,279.0
1201,3.0,2015-2016,19771013-0040,100.0,I-134,109.0
1201,3.0,2015-2016,19910822-0122,120.0,I-134,134.0
1199,4.0,2015-2016,19690513-0015,240.0,I-135,222.0
1199,4.0,2015-2016,19780317-0052,120.0,I-135,124.0
1199,4.0,2015-2016,19900723-0126,100.0,I-135,113.0
1144,3.0,2015-2016,19650303-0019,260.0,I-136,249.0
1144,3.0,2015-2016,19750417-0051,100.0,I-136,106.0
1086,4.0,2015-2016,19690917-0022,260.0,I-137,261.0
1086,4.0,2015-2016,19781130-0054,140.0,I-137,125.0
1040,2.0,2015-2016,19610623-0005,280.0,I-138,298.0
1040,2.0,2015-2016,19760108-0050,100.0,I-138,85.0
1011,1.0,2015-2016,19560812-0016,280.0,I-139,274.0
1011,1.0,2015-2016,19780602-0035,100.0,I-139,102.0
1258,3.0,2016-2017,19560812-0016,240.0,I-140,224.0
1258,3.0,2016-2017,19780317-0052,100.0,I-140,88.0
1284,2.0,2016-2017,19640414-0013,240.0,I-141,243.0
1284,2.0,2016-2017,19750331-0036,100.0,I-141,86.0
1284,2.0,2016-2017,19931226-0118,100.0,I-141,90.0
1094,1.0,2016-2017,19590129-0004,240.0,I-142,220.0
1094,1.0,2016-2017,19760108-0050,100.0,I-142,83.0
1008,3.0,2016-2017,19650303-0019,240.0,I-143,220.0
1008,3.0,2016-2017,19750906-0032,100.0,I-143,91.0
1250,1.0,2016-2017,19660630-0020,280.0,I-144,273.0
1250,1.0,2016-2017,19750705-0033,100.0,I-144,103.0
1197,1.0,2016-2017,19600529-0021,240.0,I-145,222.0
1197,1.0,2016-2017,19750906-0032,100.0,I-145,95.0
1176,4.0,2016-2017,19580218-0007,260.0,I-146,244.0
1176,4.0,2016-2017,19780424-0057,100.0,I-146,102.0
1011,2.0,2016-2017,19560812-0016,240.0,I-147,255.0
1011,2.0,2016-2017,19750331-0036,100.0,I-147,106.0
1011,2.0,2016-2017,19920226-0075,140.0,I-147,126.0
1240,3.0,2017-2018,19640414-0013,280.0,I-148,284.0
1240,3.0,2017-2018,19790426-0049,140.0,I-148,144.0
1240,3.0,2017-2018,19910514-0068,140.0,I-148,120.0
1194,2.0,2017-2018,19610623-0005,280.0,I-149,263.0
1194,2.0,2017-2018,19750512-0043,140.0,I-149,154.0
1208,4.0,2017-2018,19561222-0030,260.0,I-150,275.0
1208,4.0,2017-2018,19750122-0056,100.0,I-150,89.0
1158,1.0,2017-2018,19680712-0028,260.0,I-151,248.0
1158,1.0,2017-2018,19751018-0039,100.0,I-151,94.0
1133,2.0,2017-2018,19611219-0014,280.0,I-152,292.0
1133,2.0,2017-2018,19780317-0052,120.0,I-152,131.0
1133,2.0,2017-2018,19920504-0093,120.0,I-152,111.0
1060,2.0,2017-2018,19580515-0017,260.0,I-153,252.0
1060,2.0,2017-2018,19750705-0033,140.0,I-153,135.0
1257,2.0,2017-2018,19610620-0006,260.0,I-154,250.0
1257,2.0,2017-2018,19761009-0055,100.0,I-154,112.0
1257,2.0,2017-2018,19910101-0133,140.0,I-154,150.0
1201,2.0,2017-2018,19570826-0012,280.0,I-155,285.0
1201,2.0,2017-2018,19790702-0038,140.0,I-155,159.0
1201,2.0,2017-2018,19910927-0128,140.0,I-155,126.0
1169,4.0,2017-2018,19600814-0002,260.0,I-156,255.0
1169,4.0,2017-2018,19761024-0034,100.0,I-156,85.0
1169,4.0,2017-2018,19910421-0067,140.0,I-156,134.0
1081,1.0,2017-2018,19560612-0010,280.0,I-157,293.0
1081,1.0,2017-2018,19750417-0051,120.0,I-157,103.0
1066,3.0,2017-2018,19570615-0011,240.0,I-158,225.0
1066,3.0,2017-2018,19750906-0032,140.0,I-158,158.0
1021,4.0,2017-2018,19580218-0007,260.0,I-159,279.0
1021,4.0,2017-2018,19790618-0048,140.0,I-159,121.0
1021,4.0,2017-2018,19931203-0066,120.0,I-159,123.0
1276,2.0,2018-2019,19570615-0011,240.0,I-160,260.0
1276,2.0,2018-2019,19750122-0056,140.0,I-160,143.0
1129,3.0,2018-2019,19570826-0012,280.0,I-161,281.0
1129,3.0,2018-2019,19760524-0046,100.0,I-161,98.0
1129,3.0,2018-2019,19900701-0138,140.0,I-161,155.0
1117,1.0,2018-2019,19640414-0013,240.0,I-162,237.0
1117,1.0,2018-2019,19750906-0032,140.0,I-162,121.0
1116,1.0,2018-2019,19561222-0030,280.0,I-163,297.0
1116,1.0,2018-2019,19781217-0053,100.0,I-163,102.0
1048,1.0,2018-2019,19600814-0002,280.0,I-164,288.0
1048,1.0,2018-2019,19750102-0059,100.0,I-164,110.0
1248,3.0,2018-2019,19650303-0019,240.0,I-165,243.0
1248,3.0,2018-2019,19750705-0033,120.0,I-165,134.0
1248,3.0,2018-2019,19900317-0083,120.0,I-165,122.0
1235,1.0,2018-2019,19610918-0027,240.0,I-166,235.0
1235,1.0,2018-2019,19751018-0039,120.0,I-166,107.0
1204,2.0,2018-2019,19580515-0017,260.0,I-167,246.0
1204,2.0,2018-2019,19770713-0042,140.0,I-167,136.0
1204,2.0,2018-2019,19920602-0073,100.0,I-167,115.0
1153,2.0,2018-2019,19570828-0008,280.0,I-168,267.0
1153,2.0,2018-2019,19750722-0060,120.0,I-168,131.0
1076,2.0,2018-2019,19640414-0013,260.0,I-169,265.0
1076,2.0,2018-2019,19771013-0040,100.0,I-169,120.0
1108,1.0,2019-2020,19610918-0027,280.0,I-170,276.0
1108,1.0,2019-2020,19780317-0052,120.0,I-170,128.0
1108,1.0,2019-2020,19910206-0081,120.0,I-170,121.0
1077,1.0,2019-2020,19690917-0022,280.0,I-171,280.0
1077,1.0,2019-2020,19771013-0040,120.0,I-171,122.0
1077,1.0,2019-2020,19900616-0124,140.0,I-171,159.0
1024,4.0,2019-2020,19580218-0007,280.0,I-172,298.0
1024,4.0,2019-2020,19780602-0035,120.0,I-172,116.0
1024,4.0,2019-2020,19900430-0112,100.0,I-172,120.0
1014,4.0,2019-2020,19680712-0028,280.0,I-173,276.0
1014,4.0,2019-2020,19781125-0031,140.0,I-173,131.0
1234,2.0,2019-2020,19620831-0024,260.0,I-174,261.0
1234,2.0,2019-2020,19790426-0049,120.0,I-174,114.0
1234,2.0,2019-2020,19921002-0129,120.0,I-174,106.0
1224,1.0,2019-2020,19611219-0014,280.0,I-175,270.0
